#OK
#SQL= select Type, stellarMass
#	from Henriques2020a..MR   
#	where snapnum=19 and StellarMass > 0.01
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2020-01-31 15:33:05.317 CET
#QUERYTIME 88 millisec
#COLUMN 1 name=Type JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
Type,stellarMass
0,0.010000951
0,0.0100009525
0,0.0100009525
0,0.010000958
2,0.01000096
0,0.010000965
0,0.010000972
0,0.010000977
0,0.010000978
0,0.010000979
0,0.010000988
0,0.010000996
0,0.010000997
0,0.010001016
0,0.010001019
0,0.010001023
0,0.010001025
0,0.010001031
0,0.010001035
0,0.010001037
0,0.010001041
0,0.010001056
0,0.010001058
0,0.010001059
0,0.010001059
0,0.01000106
0,0.010001068
0,0.01000107
0,0.010001076
0,0.010001082
2,0.010001083
0,0.010001087
0,0.010001091
0,0.010001092
0,0.0100011015
0,0.010001102
0,0.010001102
0,0.010001112
0,0.010001126
0,0.01000113
0,0.010001135
0,0.010001136
0,0.010001136
0,0.010001137
0,0.010001138
0,0.010001142
0,0.010001155
0,0.010001171
0,0.010001174
0,0.010001177
0,0.010001178
0,0.010001182
0,0.010001182
0,0.010001185
0,0.010001185
0,0.010001187
0,0.010001192
0,0.0100011965
0,0.010001198
0,0.010001199
0,0.010001211
0,0.010001214
0,0.010001222
0,0.010001222
0,0.010001224
2,0.010001225
0,0.010001226
0,0.010001229
0,0.01000123
0,0.010001232
0,0.010001242
2,0.010001243
0,0.010001245
0,0.010001252
0,0.010001252
0,0.010001253
0,0.010001285
0,0.010001287
0,0.010001288
0,0.010001295
0,0.010001304
0,0.01000132
0,0.01000133
0,0.010001331
0,0.010001343
0,0.010001343
2,0.010001348
0,0.010001348
0,0.010001351
0,0.010001353
0,0.010001355
2,0.010001361
0,0.010001361
0,0.010001366
0,0.010001375
0,0.010001376
0,0.010001378
0,0.0100013865
0,0.010001394
2,0.010001394
0,0.010001408
0,0.010001417
0,0.010001425
0,0.010001432
0,0.010001433
0,0.010001435
0,0.010001443
0,0.010001444
0,0.010001444
0,0.01000145
0,0.01000145
0,0.010001461
0,0.010001462
0,0.010001466
0,0.010001472
0,0.010001475
0,0.010001477
0,0.010001478
0,0.010001487
0,0.0100015
0,0.0100015085
0,0.010001515
0,0.010001518
0,0.010001527
0,0.010001531
0,0.010001532
0,0.010001544
0,0.010001546
0,0.010001547
0,0.010001554
0,0.010001557
0,0.010001557
0,0.010001558
0,0.010001568
0,0.01000157
0,0.010001573
0,0.010001581
0,0.010001582
0,0.010001582
0,0.010001589
0,0.010001591
0,0.010001596
0,0.010001598
0,0.0100016035
0,0.010001605
0,0.010001609
0,0.01000161
0,0.010001615
0,0.010001619
0,0.010001623
0,0.0100016305
0,0.0100016305
0,0.010001646
0,0.010001647
0,0.01000165
0,0.010001652
0,0.010001653
2,0.010001655
2,0.01000167
2,0.01000167
0,0.010001673
0,0.010001677
0,0.010001681
0,0.01000169
0,0.010001693
0,0.010001701
0,0.010001701
0,0.010001702
0,0.010001702
0,0.010001708
0,0.010001717
0,0.010001722
0,0.010001732
0,0.010001735
2,0.010001739
0,0.010001754
0,0.010001771
0,0.010001775
0,0.010001779
0,0.010001783
0,0.010001784
0,0.010001791
0,0.0100017935
0,0.010001796
0,0.010001805
0,0.010001806
0,0.0100018075
0,0.010001812
1,0.010001814
0,0.010001816
0,0.010001819
0,0.010001828
0,0.010001829
0,0.010001837
0,0.010001839
0,0.01000185
0,0.010001854
0,0.01000186
0,0.010001863
0,0.010001864
0,0.0100018745
2,0.010001882
0,0.010001888
0,0.010001889
0,0.010001894
0,0.0100019
0,0.0100019025
0,0.010001906
0,0.010001906
0,0.010001907
0,0.010001917
1,0.0100019295
0,0.010001942
0,0.010001949
0,0.010001951
0,0.010001953
0,0.010001963
2,0.010001971
0,0.010001982
0,0.010001995
0,0.010002025
0,0.010002032
0,0.010002035
0,0.010002036
0,0.010002037
0,0.010002037
0,0.0100020375
0,0.010002042
2,0.010002043
0,0.010002053
0,0.010002078
0,0.010002079
0,0.01000208
0,0.010002081
0,0.010002082
0,0.010002085
0,0.010002091
0,0.010002091
0,0.010002096
0,0.010002107
0,0.0100021195
0,0.01000212
0,0.010002127
0,0.010002127
0,0.010002142
0,0.010002146
2,0.010002151
0,0.0100021595
0,0.010002162
0,0.010002171
0,0.010002171
0,0.010002173
2,0.010002181
0,0.010002185
0,0.010002185
0,0.010002187
2,0.010002198
0,0.010002205
0,0.010002211
0,0.010002211
0,0.010002215
2,0.010002216
0,0.010002223
0,0.0100022275
0,0.010002239
2,0.01000224
0,0.010002244
0,0.010002244
0,0.010002244
0,0.010002247
0,0.010002247
0,0.010002251
2,0.010002257
0,0.010002259
0,0.010002262
0,0.010002269
0,0.010002281
0,0.010002292
0,0.010002298
0,0.010002307
0,0.010002318
0,0.010002323
0,0.010002323
0,0.0100023355
0,0.010002336
0,0.010002341
0,0.010002343
0,0.010002344
0,0.010002347
0,0.010002351
0,0.010002353
0,0.010002354
0,0.010002355
0,0.010002359
0,0.010002376
0,0.010002376
0,0.010002377
0,0.01000239
0,0.010002398
2,0.0100024035
0,0.010002407
0,0.010002414
0,0.010002414
0,0.010002415
0,0.010002419
0,0.010002424
0,0.01000243
0,0.010002432
0,0.0100024445
0,0.010002445
0,0.010002457
0,0.010002458
0,0.0100024585
0,0.010002461
0,0.010002466
0,0.010002482
0,0.0100024985
0,0.0100024985
1,0.010002499
0,0.010002503
0,0.010002513
0,0.010002519
0,0.010002521
2,0.010002524
1,0.010002527
0,0.010002532
0,0.010002556
0,0.010002557
0,0.010002572
0,0.010002578
0,0.01000258
0,0.010002609
0,0.010002609
0,0.010002611
0,0.010002612
0,0.010002618
0,0.0100026205
0,0.010002624
0,0.010002629
0,0.010002643
0,0.010002643
0,0.01000265
0,0.010002651
0,0.010002654
0,0.010002655
0,0.010002662
0,0.010002667
2,0.01000267
0,0.010002682
0,0.010002684
0,0.010002686
0,0.010002703
0,0.010002709
0,0.010002716
0,0.010002719
0,0.010002719
0,0.01000273
0,0.010002735
0,0.010002736
0,0.010002736
2,0.010002736
2,0.010002743
0,0.010002746
0,0.010002762
0,0.010002772
0,0.010002777
0,0.01000278
0,0.010002781
0,0.010002782
0,0.010002794
0,0.010002795
0,0.010002799
0,0.0100028
0,0.010002805
0,0.010002817
0,0.010002818
